game,ordinal,display_name,source
fh4,247,Toyota 1969 2000GT,addidotlol/FH4-Car-ID-List
fh4,249,Ferrari 1962 250 GTO,addidotlol/FH4-Car-ID-List
fh4,251,Mercedes-Benz 1954 300 SL Coupe,addidotlol/FH4-Car-ID-List
fh4,253,Ferrari 1994 F355 Berlinetta,addidotlol/FH4-Car-ID-List
fh4,255,Ferrari 1992 512 TR,addidotlol/FH4-Car-ID-List
fh4,257,Ferrari 2002 575M Maranello,addidotlol/FH4-Car-ID-List
fh4,260,Porsche 1973 911 Carrera RS,addidotlol/FH4-Car-ID-List
fh4,261,Porsche 1995 911 GT2,addidotlol/FH4-Car-ID-List
fh4,262,Porsche 2004 911 GT3,addidotlol/FH4-Car-ID-List
fh4,265,Porsche 1982 911 Turbo 3.3,addidotlol/FH4-Car-ID-List
fh4,266,Porsche 1970 914/6,addidotlol/FH4-Car-ID-List
fh4,268,Porsche 1989 944 Turbo,addidotlol/FH4-Car-ID-List
fh4,269,Porsche 1987 959,addidotlol/FH4-Car-ID-List
fh4,289,Chevrolet 1969 Camaro Super Sport Coupe,addidotlol/FH4-Car-ID-List
fh4,291,Vauxhall 1990 Lotus Carlton,addidotlol/FH4-Car-ID-List
fh4,292,Porsche 2003 Carrera GT,addidotlol/FH4-Car-ID-List
fh4,294,Koenigsegg 2002 CC8S,addidotlol/FH4-Car-ID-List
fh4,296,TVR 1998 Cerbera Speed 12,addidotlol/FH4-Car-ID-List
fh4,297,Ferrari 2003 360 Challenge Stradale,addidotlol/FH4-Car-ID-List
fh4,299,Chevrolet 1970 Chevelle Super Sport 454,addidotlol/FH4-Car-ID-List
fh4,302,Honda 2004 Civic Type-R,addidotlol/FH4-Car-ID-List
fh4,306,Shelby 1965 Cobra 427 S/C,addidotlol/FH4-Car-ID-List
fh4,309,Volkswagen 1995 Corrado VR6,addidotlol/FH4-Car-ID-List
fh4,312,Chevrolet 1967 Corvette Stingray 427,addidotlol/FH4-Car-ID-List
fh4,314,Chevrolet 2002 Corvette Z06,addidotlol/FH4-Car-ID-List
fh4,315,Chevrolet 1970 Corvette ZR-1,addidotlol/FH4-Car-ID-List
fh4,316,Lamborghini 1988 Countach LP5000 QV,addidotlol/FH4-Car-ID-List
fh4,320,Honda 1991 CR-X SiR,addidotlol/FH4-Car-ID-List
fh4,323,Lancia 1992 Delta HF Integrale Evo,addidotlol/FH4-Car-ID-List
fh4,324,Lamborghini 1999 Diablo GTR,addidotlol/FH4-Car-ID-List
fh4,325,Lamborghini 1997 Diablo SV,addidotlol/FH4-Car-ID-List
fh4,326,Ferrari 1969 Dino 246 GT,addidotlol/FH4-Car-ID-List
fh4,327,Mitsubishi 1995 Eclipse GSX,addidotlol/FH4-Car-ID-List
fh4,330,Lotus 1971 Elan Sprint,addidotlol/FH4-Car-ID-List
fh4,331,Lotus 2005 Elise 111S,addidotlol/FH4-Car-ID-List
fh4,333,Ferrari 2002 Enzo Ferrari,addidotlol/FH4-Car-ID-List
fh4,335,Lotus 2002 Esprit V8,addidotlol/FH4-Car-ID-List
fh4,336,Jaguar 1961 E-Type S1,addidotlol/FH4-Car-ID-List
fh4,338,McLaren 1997 F1 GT,addidotlol/FH4-Car-ID-List
fh4,340,Ferrari 1987 F40,addidotlol/FH4-Car-ID-List
fh4,342,Ferrari 1995 F50,addidotlol/FH4-Car-ID-List
fh4,343,Nissan 1969 Fairlady Z 432,addidotlol/FH4-Car-ID-List
fh4,344,Nissan 2003 Fairlady Z,addidotlol/FH4-Car-ID-List
fh4,345,Nissan 1994 Fairlady Z Version S Twin Turbo,addidotlol/FH4-Car-ID-List
fh4,348,Ford 2005 GT,addidotlol/FH4-Car-ID-List
fh4,353,Volkswagen 1992 Golf GTI 16V MK2,addidotlol/FH4-Car-ID-List
fh4,354,Volkswagen 2003 Golf R32,addidotlol/FH4-Car-ID-List
fh4,357,Mitsubishi 1997 GTO,addidotlol/FH4-Car-ID-List
fh4,358,Ferrari 1984 288 GTO,addidotlol/FH4-Car-ID-List
fh4,363,Subaru 1998 Impreza 22B STI,addidotlol/FH4-Car-ID-List
fh4,364,Subaru 2004 Impreza WRX STI,addidotlol/FH4-Car-ID-List
fh4,365,Subaru 2005 Impreza WRX STI,addidotlol/FH4-Car-ID-List
fh4,368,Acura 2001 Integra Type-R,addidotlol/FH4-Car-ID-List
fh4,374,Mitsubishi 2006 Lancer Evolution IX MR,addidotlol/FH4-Car-ID-List
fh4,375,Mitsubishi 1999 Lancer Evolution VI GSR,addidotlol/FH4-Car-ID-List
fh4,378,Mitsubishi 2004 Lancer Evolution VIII MR,addidotlol/FH4-Car-ID-List
fh4,382,BMW 1997 M3,addidotlol/FH4-Car-ID-List
fh4,383,BMW 2005 M3,addidotlol/FH4-Car-ID-List
fh4,391,Maserati 2004 MC12,addidotlol/FH4-Car-ID-List
fh4,397,Vauxhall 2005 Monaro VRX,addidotlol/FH4-Car-ID-List
fh4,398,Toyota 1995 MR2 GT,addidotlol/FH4-Car-ID-List
fh4,405,Ford 2000 SVT Cobra R,addidotlol/FH4-Car-ID-List
fh4,411,Honda 2005 NSX-R,addidotlol/FH4-Car-ID-List
fh4,412,Honda 1992 NSX-R,addidotlol/FH4-Car-ID-List
fh4,417,Buick 1987 Regal GNX,addidotlol/FH4-Car-ID-List
fh4,419,Audi 2006 RS 4,addidotlol/FH4-Car-ID-List
fh4,420,Audi 2003 RS 6,addidotlol/FH4-Car-ID-List
fh4,422,Acura 2002 RSX Type-S,addidotlol/FH4-Car-ID-List
fh4,423,Mazda 1990 Savanna RX-7,addidotlol/FH4-Car-ID-List
fh4,424,Mazda 1997 RX-7,addidotlol/FH4-Car-ID-List
fh4,425,Mazda 2002 RX-7 Spirit R Type-A,addidotlol/FH4-Car-ID-List
fh4,427,Honda 2003 S2000,addidotlol/FH4-Car-ID-List
fh4,432,Saleen 2004 S7,addidotlol/FH4-Car-ID-List
fh4,433,TVR 2005 Sagaris,addidotlol/FH4-Car-ID-List
fh4,439,Nissan 1992 Silvia Club K's,addidotlol/FH4-Car-ID-List
fh4,440,Nissan 1994 Silvia K's,addidotlol/FH4-Car-ID-List
fh4,441,Nissan 2000 Silvia Spec-R,addidotlol/FH4-Car-ID-List
fh4,444,Nissan 1993 Skyline GT-R V-Spec,addidotlol/FH4-Car-ID-List
fh4,445,Nissan 2002 Skyline GT-R V-Spec II,addidotlol/FH4-Car-ID-List
fh4,453,Renault 2003 Sport Clio V6,addidotlol/FH4-Car-ID-List
fh4,455,Toyota 1985 Sprinter Trueno GT Apex,addidotlol/FH4-Car-ID-List
fh4,458,Lancia 1974 Stratos HF Stradale,addidotlol/FH4-Car-ID-List
fh4,460,Toyota 1992 Supra 2.0 GT Twin Turbo,addidotlol/FH4-Car-ID-List
fh4,461,Toyota 1998 Supra RZ,addidotlol/FH4-Car-ID-List
fh4,477,TVR 2001 Tuscan S,addidotlol/FH4-Car-ID-List
fh4,483,Dodge 1999 Viper GTS ACR,addidotlol/FH4-Car-ID-List
fh4,487,Vauxhall 2004 VX220 Turbo,addidotlol/FH4-Car-ID-List
fh4,489,Jaguar 1993 XJ220,addidotlol/FH4-Car-ID-List
fh4,513,Dodge 1969 Charger R/T,addidotlol/FH4-Car-ID-List
fh4,565,BMW 2002 M3-GTR,addidotlol/FH4-Car-ID-List
fh4,567,Nissan 1998 R390,addidotlol/FH4-Car-ID-List
fh4,568,Mercedes-Benz 1998 AMG CLK GTR,addidotlol/FH4-Car-ID-List
fh4,569,Honda 2005 NSX-R GT,addidotlol/FH4-Car-ID-List
fh4,625,Honda 2007 Civic Type-R,addidotlol/FH4-Car-ID-List
fh4,633,Audi 1983 Sport Quattro,addidotlol/FH4-Car-ID-List
fh4,634,Renault 1980 5 Turbo,addidotlol/FH4-Car-ID-List
fh4,635,Renault 2007 Clio RS 197,addidotlol/FH4-Car-ID-List
fh4,637,Lamborghini 1967 Miura P400,addidotlol/FH4-Car-ID-List
fh4,639,Dodge 1970 Challenger R/T,addidotlol/FH4-Car-ID-List
fh4,641,Porsche 1998 911 GT1 Strassenversion,addidotlol/FH4-Car-ID-List
