game,manufacturer,display_name,class,pi,country,availability,source
fh6,Abarth,1968 Abarth 595 esseesse,Cult Cars,100 D,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Abarth,1980 Abarth Fiat 131,Classic Rally,399 D,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Abarth,2016 Abarth 695 Biposto,Hot Hatch,540 B,Italy,Seasonal,forza.net/fh6cars
fh6,Acura,2001 Acura Integra Type R,Retro Hot Hatch,471 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Acura,2002 Acura RSX Type S,Retro Hot Hatch,462 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Acura,2022 Acura NSX Type S,Modern Supercars,734 S1,USA,Seasonal,forza.net/fh6cars
fh6,Acura,2023 Acura Integra A-Spec,Hot Hatch,484 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Alfa Romeo,1965 Alfa Romeo Giulia Sprint GTA Stradale,Rare Classics,379 D,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Alfa Romeo,1965 Alfa Romeo Giulia TZ2,Classic Racers,532 B,Italy,"Collection Journal, Seasonal",forza.net/fh6cars
fh6,Alfa Romeo,1968 Alfa Romeo 33 Stradale,Classic Racers,593 B,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Alfa Romeo,1990 Alfa Romeo SE 048SP,Retro Racers,978 R,Italy,Autoshow DLC,forza.net/fh6cars
fh6,Alfa Romeo,1992 Alfa Romeo 155 Q4,Retro Super Saloons,439 C,Italy,Autoshow,forza.net/fh6cars
fh6,Alfa Romeo,2007 Alfa Romeo 8C Competizione,GT Cars,635 A,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Alfa Romeo,2014 Alfa Romeo 4C,Modern Sports Cars,644 A,Italy,Autoshow,forza.net/fh6cars
fh6,Alfa Romeo,2017 Alfa Romeo Giulia Quadrifoglio,Modern Super Saloons,667 A,Italy,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Alfa Romeo,2021 Alfa Romeo Giulia GTAm,Modern Super Saloons,717 S1,Italy,Autoshow DLC,forza.net/fh6cars
fh6,Alumicraft,2015 Alumicraft Class 10 Race Car,Unlimited Buggies,532 B,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Alumicraft,2021 Alumicraft #122 Class 1 Buggy,Unlimited Buggies,571 B,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Alumicraft,2022 Alumicraft #6165 Trick Truck,Unlimited Offroad,485 C,USA,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,AMG Transport Dynamics,2554 AMG Transport Dynamics M12S Warthog CST,Unlimited Offroad,663 A,USA,"Autoshow, Collection Journal",forza.net/fh6cars
fh6,Apollo,2019 Apollo Intensa Emozione,Extreme Track Toys,916 R,Germany,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,Ariel,2013 Ariel Atom 500 V8,Extreme Track Toys,825 S2,UK,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Ariel,2016 Ariel Nomad,Unlimited Buggies,601 A,UK,"Autoshow, Collection Journal, Wheelspin",forza.net/fh6cars
fh6,Aston Martin,1964 Aston Martin DB5,Rare Classics,416 C,UK,Autoshow,forza.net/fh6cars
fh6,Aston Martin,2016 Aston Martin Vulcan,Extreme Track Toys,884 S2,UK,"Autoshow, Wheelspin, Loyalty",forza.net/fh6cars
fh6,Aston Martin,2017 Aston Martin DB11,Super GT,679 A,UK,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Aston Martin,2017 Aston Martin Vulcan AMR Pro,Extreme Track Toys,898 S2,UK,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Aston Martin,2019 Aston Martin DBS Superleggera,Super GT,736 S1,UK,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,Aston Martin,2019 Aston Martin Valhalla Concept Car,Hypercars,960 R,UK,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,Aston Martin,2019 Aston Martin Vantage,GT Cars,696 A,UK,Autoshow,forza.net/fh6cars
fh6,Aston Martin,2021 Aston Martin DBX,Sports Utility Heroes,618 A,UK,Seasonal,forza.net/fh6cars
fh6,Aston Martin,2022 Aston Martin Valkyrie AMR Pro,Extreme Track Toys,989 R,UK,"Autoshow, Collection Journal, Wheelspin",forza.net/fh6cars
fh6,Aston Martin,2023 Aston Martin Valkyrie,Hypercars,924 R,UK,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,1984 Audi Sport quattro,Retro Rally,526 B,Germany,"Wheelspin, Seasonal",forza.net/fh6cars
fh6,Audi,1986 Audi #2 Audi Sport quattro S1,Rally Monsters,726 S1,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2001 Audi RS 4 Avant,Retro Super Saloons,544 B,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2003 Audi RS 6,Retro Super Saloons,556 B,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2006 Audi RS 4,Modern Super Saloons,593 B,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2009 Audi R8 LMS,Extreme Track Toys,810 S2,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2009 Audi RS 6,Modern Super Saloons,598 B,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2010 Audi TT RS Coupé,Modern Sports Cars,593 B,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2011 Audi RS 3 Sportback,Super Hot Hatch,565 B,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2011 Audi RS 5 Coupé,Modern Super Saloons,613 A,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2013 Audi R8 Coupé V10 plus 5.2 FSI quattro,Modern Supercars,694 A,Germany,"Collection Journal, Seasonal",forza.net/fh6cars
fh6,Audi,2013 Audi RS 4 Avant,Modern Super Saloons,607 A,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2013 Audi RS 7 Sportback,Modern Super Saloons,619 A,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2015 Audi RS 6 Avant,Modern Super Saloons,640 A,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2015 Audi S1,Hot Hatch,527 B,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2016 Audi R8 V10 plus,Modern Supercars,731 S1,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2018 Audi RS 4 Avant,Modern Super Saloons,637 A,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2020 Audi R8 V10 performance,Modern Supercars,738 S1,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2020 Audi RS 3 Sedan,Modern Super Saloons,617 A,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
fh6,Audi,2021 Audi RS 6 Avant,Modern Super Saloons,650 A,Germany,"Autoshow, Wheelspin",forza.net/fh6cars
