# Pacefinder — extended Forza car ordinal map.
# Format: ordinal,year,make,model (4 columns — same as fm8_cars.csv).
# Loaded AFTER fm8_cars.csv; entries here OVERRIDE the base on duplicate ordinals.
# FH5 seed source: https://github.com/ForzaMods/FH5-Car-ID-List
# FH5 list names usually do not include model year, so year=0 means display name omits year.
ordinal,year,make,model
255,0,Ferrari,512 TR
257,0,Ferrari,575M Mararello
269,0,Porsche,959
281,0,Plymouth,Barracuda
291,0,Vauxhall,Lotus Carlton
295,0,Toyota,Celica Sport
315,0,Chevrolet,1970 Corvette ZR-1
326,0,Ferrari,1969 Dino 246 GT
348,0,Ford,2005 GT
363,0,Subaru,1998 Impreza 22B-STI Version
398,0,Toyota,MR2 GT
432,0,Saleen,2004 S7
455,0,Toyota,1985 Sprinter Trueno Gt Apex
489,0,Jaguar,1993 XJ220
569,0,Honda,NSX-R GT
1005,0,Firebird,
1007,0,Koenigsegg,2008 CCGT
1032,0,2007,Alfa Romeo 8C Competizione
1090,0,SL65,Black Series
1124,0,1980,Abarth 131
1171,0,Ferrari,599XX
1173,0,Lamborghini,2010 Murcielago LP 670-4 SV
1181,0,Aston Martin,One-77
1204,0,Renault,Megane RS 250 2010
1253,0,Noble,M600
1264,0,Renault,Clio R.S. 2010
1267,0,AMC,Javelin
1270,0,DeLorean,DMC-12
1278,0,XB,falcon
1281,0,Porsche,550A Spyder
1294,0,GMC,Syclone
1295,0,1982,Lancia 037
1314,0,Mclaren,1993 F1
1319,0,Ferrari,599 GTO
1352,0,Dodge,Coronet Super Bee
1381,0,Mitsubishi,Galant VR-4
1382,0,Subary,Legacy RS
1393,0,1992,Alfa Romeo 155 Q4
1394,0,GMC,Typhoon
1397,0,Koenigsegg,Agera 2011
1451,0,Ascari,KZ1R
1478,0,Audi,S1
1493,0,1996,BMW 850CSi
1572,0,AMC,Rebel
1578,0,Ferrari,250 GT
1583,0,Lamborghini,Aventador J
1598,0,M3,GTS
1601,0,Lamborghini,Gallardo Spyder LP570-4
1661,0,1986,Lancia Delta S4
2010,0,Audi,2013 R8 Coupe V10 Plus 5.2 Fsi Quattro
2038,0,2014,Alfa Romeo 4C
2068,0,Maserati,8CTF
2105,0,Donkervoort,GTO
2128,0,Cadillac,XTS Limousine
2140,0,Subaru,Brat
2148,0,Mini,2013 X-Raid All4 Racing Countryman
2158,0,Ford,1981 Fiesta XR2
2162,0,Jaguar,2015 F-Type R Coupe
2173,0,MG,MG3
2184,0,Ferrari,2013 458 Speciale
2194,0,Ferrari,California T
2216,0,Plymouth,Fury
2235,0,Jaguar,XKR-S GT
2242,0,Merc-AMG,GT S
2297,0,Porsche,911 GT3 RS4
2416,0,Meyers Manx,
2431,0,Bmw,2015 X6 M
2469,0,Toyota,Sport 800
2474,0,Zenvo,ST1
2486,0,Radical,2015 RXC Turbo
2489,0,2016,Abarth 659
2504,0,Ford,Super Deluxe Wagon
2576,0,Hot Wheels,Ford Mustang
2584,0,HDT,Commodore Group A
2647,0,Pagani,2016 Huayra BC
