# Pacefinder — extended Forza Motorsport track ordinal map.
#
# Format: ordinal,track_display_name (2 columns).
# Loaded AFTER fm8_tracks.csv (the bluemanos base list); entries here OVERRIDE
# the base on duplicate ordinals.
#
# Use this file for:
#   - Circuit variants missing from the bluemanos list
#   - User-discovered ordinals confirmed against actual race results
#   - Reversed / club / mirrored layout names that the base list groups under one ordinal
#
# Contribute new mappings: open an issue or PR with `ordinal,name` pairs.
#
ordinal,track
35,Mugello Circuit Full
38, Suzuka Circuit East
67,Maple Valley Full Circuit
111, Circuit de Barcelona-Catalunya National Circuit
113, Circuit de Barcelona-Catalunya National Circuit Alt
110, Circuit de Barcelona-Catalunya Grand Prix Circuit
510,Yas Marina Full Circuit
530,Circuit de Spa-Francorchamps
540,Mount Panorama Circuit
860,Brands Hatch Grand Prix Circuit
840,Daytona International Speedway Sports Car Circuit
841,Daytona International Speedway Tri-Oval Circuit
990,Virginia International Raceway Full
1630,Grand Oak Raceway National
1643,Hakone Club Reversed
67,Maple Valley Full Circuit
510,Yas Marina Full Circuit
530,Circuit de Spa-Francorchamps
540,Mount Panorama Circuit
860,Brands Hatch Grand Prix Circuit
861,Brands Hatch Indy Circuit
990,Virginia International Raceway Full
1630,Grand Oak Raceway National
1643,Hakone Club Reversed
1620,Sunset Peninsula Raceway Full Circuit
34,Nürburgring Sprint Circuit
1660,Eaglerock Speedway Oval Circuit
1661,Eaglerock Speedway Club Circuit
1631,Grand Oak Raceway Club Circuit
78,Fujimi Kaido Full Circuit
83,Fujimi Kaido Full Circuit Reversed
250,Hockenheimring Full Circuit
251,Hockenheimring National Circuit
252,Hockenheimring Short Circuit
1110,Homestead-Miami Speedway Speedway Circuit
1111,Homestead-Miami Speedway Road Circuit
231,Indianapolis Motor Speedway The Brickyard Speedway
232,Indianapolis Motor Speedway Grand Prix Circuit
1590,Kyalami Grand Prix Circuit
100,Le Mans - Circuit International de la Sarthe Full Circuit
101,Le Mans - Circuit International de la Sarthe Old Mulsanne Circuit
23,Silverstone Racing Circuit International Circuit
70,Maple Valley Short Circuit Reverse
37,Suzuka Circuit Full Circuit
